File Name,Positive,Neutral,Negative
PBS_Venezuela.txt,0.0,0.33211066392231664,0.6678893360776833
WP_Venezuela.txt,0.0,0.9371370965191034,0.06286290348089664
BBC_Venezuela.txt,0.0,0.510336273691052,0.489663726308948
MSNBC_Venezuela.txt,0.0,0.8903863758469713,0.10961362415302872
WSJ_Venezuela.txt,0.09907361314216381,0.618596565499562,0.2823298213582743
NBC_Venezuela.txt,0.21501661437234867,0.646617567536563,0.13836581809108836
ABC_Venezuela.txt,0.14582711300410336,0.6548768051683026,0.19929608182759406
NPR_Venezuela.txt,0.0,0.8244463467161854,0.17555365328381453
CBS_Venezuela.txt,0.0,0.6218509093262703,0.37814909067372965
AP_Venezuela.txt,0.0,0.34893602409253344,0.6510639759074667
USA_Today_Venezuela.txt,0.0,0.6205590216423189,0.37944097835768104
NY_Post_Venezuela.txt,0.09976045964599474,0.440346797149087,0.4598927432049184
NYT_Venezuela.txt,0.0728729273256239,0.7034908568789964,0.22363621579537982
Forbes_Venezuela.txt,0.0,0.6674141406925171,0.3325858593074828
Fox_News_Venezuela.txt,0.0,0.8544492578730183,0.14555074212698177
CNN_Venezuela.txt,0.0,0.8589578662901953,0.14104213370980467
